noc,participants,gold,silver,bronze,all_medals,gdp,population
Albania,4,0,0,0,0,9523,3474
Algeria,47,1,1,3,5,87109,30429
Angola,30,0,0,0,0,7991,10377
Argentina,143,0,2,2,4,320364,37336
Armenia,25,0,0,1,1,13889,3043
Australia,632,16,25,17,58,414058,19053
Austria,92,2,1,0,3,167878,8113
Azerbaijan,29,2,0,1,3,19666,7809
Bahrain,4,0,0,0,0,3208,634
Bangladesh,4,0,0,0,0,112371,136681
Belarus,139,3,3,11,17,64943,10034
Belgium,68,0,2,3,5,212010,10264
Benin,4,0,0,0,0,8503,6619
Bolivia,5,0,0,0,0,20991,8195
Bosnia and Herzegovina,9,0,0,0,0,22487,4035
Botswana,7,0,0,0,0,6860,1680
Brazil,205,0,6,6,12,975444,176320
Bulgaria,91,5,6,2,13,41828,7818
Burkina Faso,2,0,0,0,0,10416,11588
Burundi,6,0,0,0,0,3284,6621
Cambodia,4,0,0,0,0,14224,12396
Cameroon,34,1,0,0,1,16488,15343
Canada,294,3,3,8,14,699382,31100
Cape Verde,2,0,0,0,0,713,402
Central African Republic,3,0,0,0,0,2265,3940
Chad,2,0,0,0,0,3566,7943
Chile,50,0,0,1,1,156245,15156
China,271,28,16,14,58,4319339,1262645
Colombia,44,1,0,0,1,202230,39817
DR Congo,3,0,0,0,0,11286,51849
Congo,4,0,0,0,0,6221,3104
Costa Rica,7,0,0,2,2,22908,3711
Côte d'Ivoire,14,0,0,0,0,21042,16885
Croatia,88,1,0,1,2,28400,4411
Cuba,229,11,11,7,29,26896,11106
Czech Republic,119,2,3,3,8,94029,10270
Denmark,97,2,3,1,6,122628,5337
Djibouti,2,0,0,0,0,475,431
Dominican Republic,13,0,0,0,0,30600,8410
Ecuador,10,0,0,0,0,40059,12446
Egypt,89,0,0,0,0,207013,70512
El Salvador,8,0,0,0,0,16626,6126
Equatorial Guinea,4,0,0,0,0,3773,491
Estonia,33,1,0,2,3,16158,1380
Finland,70,2,1,1,4,102185,5169
France,336,13,14,11,38,1248521,61137
Gabon,5,0,0,0,0,4753,1236
Gambia,2,0,0,0,0,1224,1368
Georgia,36,0,0,6,6,15495,4777
Germany,422,13,17,26,56,1556928,82188
Ghana,22,0,0,0,0,24963,19736
Great Britain,332,11,10,7,28,1211453,59522
Greece,140,4,6,3,13,127880,10559
Guatemala,15,0,0,0,0,43533,11085
Guinea,6,0,0,0,0,4939,8350
Haiti,5,0,0,0,0,5817,7639
Honduras,20,0,0,0,0,12134,6348
Hong Kong,31,0,0,0,0,155337,6659
Hungary,178,8,6,3,17,72303,10137
India,0,0,0,1,1,1899526,1004124
Indonesia,47,1,3,2,6,672114,205132
Iran,35,3,0,1,4,306112,63273
