noc,participants,gold,silver,bronze,all_medals,gdp,population
Afghanistan,4,0,0,1,1,28445,32738
Albania,11,0,0,0,0,15015,3619
Algeria,62,0,1,1,2,118882,33770
Angola,32,0,0,0,0,21106,12531
Argentina,137,2,0,4,6,445117,40482
Armenia,25,0,0,6,6,34526,2969
Australia,433,14,15,17,46,531503,21007
Austria,72,0,1,2,3,198004,8206
Azerbaijan,39,1,2,4,7,66221,8178
Bahrain,15,0,0,0,0,5278,718
Bangladesh,5,0,0,0,0,176454,154038
Belarus,181,4,5,10,19,122112,9686
Belgium,96,1,1,0,2,246103,10404
Benin,5,0,0,0,0,11893,8533
Bolivia,6,0,0,0,0,28409,9601
Bosnia and Herzegovina,5,0,0,0,0,33391,4590
Botswana,12,0,0,0,0,9309,1952
Brazil,277,3,4,8,15,1262279,196343
Bulgaria,72,1,1,3,5,64539,7263
Burkina Faso,6,0,0,0,0,16234,15265
Burundi,3,0,0,0,0,4164,8691
Cambodia,4,0,0,0,0,35344,14242
Cameroon,33,1,0,0,1,22378,18468
Canada,332,3,9,6,18,839199,33213
Cape Verde,3,0,0,0,0,1168,427
Central African Republic,3,0,0,0,0,2381,4444
Chad,2,0,0,0,0,7136,10111
Chile,27,0,1,0,1,216948,16454
China,639,51,21,28,100,8908894,1324786
Colombia,64,0,1,1,2,284921,45014
DR Congo,5,0,0,0,0,16591,66515
Congo,3,0,0,0,0,8431,3905
Costa Rica,8,0,0,0,0,33704,4196
Côte d'Ivoire,20,0,0,0,0,22098,20180
Croatia,105,0,2,3,5,39991,4492
Cuba,149,2,11,11,24,42996,11424
Czech Republic,134,3,3,0,6,131522,10221
Denmark,84,2,2,3,7,135037,5485
Djibouti,2,0,0,0,0,635,506
Dominican Republic,25,1,1,0,2,42440,9507
Ecuador,25,0,1,0,1,57231,14354
Egypt,103,0,0,1,1,304383,81714
El Salvador,11,0,0,0,0,20777,7066
Equatorial Guinea,3,0,0,0,0,13592,616
Estonia,47,1,1,0,2,26088,1308
Finland,58,1,1,2,4,127676,5245
France,323,7,16,18,41,1423562,64058
Gabon,4,0,0,0,0,5663,1486
Gambia,3,0,0,0,0,1810,1735
Georgia,35,3,0,3,6,27711,4631
Germany,463,16,10,15,41,1713405,82370
Ghana,9,0,0,0,0,38590,23383
Great Britain,312,19,13,15,47,1446959,60944
Greece,159,0,2,2,4,175445,10723
Guatemala,12,0,0,0,0,57997,13002
Guinea,5,0,0,0,0,6155,9807
Haiti,7,0,0,0,0,6084,8871
Honduras,25,0,0,0,0,17747,7639
Hong Kong,34,0,0,0,0,222516,7019
Hungary,171,3,5,2,10,94344,9931
India,57,1,0,2,3,3415183,1147996
Indonesia,24,1,1,3,5,1007750,227602
Iran,55,1,0,1,2,457455,65875
Iraq,4,0,0,0,0,29602,28221
Ireland,54,0,1,2,3,115949,4156
Israel,43,0,0,1,1,127572,7112
Italy,344,8,9,10,27,1157636,58145
Jamaica,50,6,3,2,11,10286,2804
Japan,351,9,6,10,25,2904141,127288
Jordan,7,0,0,0,0,35346,6199
Kazakhstan,132,2,4,7,13,172511,15341
Kenya,56,6,4,4,14,41689,37954
North Korea,63,2,1,3,6,25310,22565
South Korea,267,13,10,8,31,948906,48379
Kuwait,6,0,0,0,0,33484,2597
Kyrgyzstan,21,0,1,1,2,15185,5357
Laos,4,0,0,0,0,11146,6678
Latvia,50,1,1,1,3,33269,2245
Lebanon,5,0,0,0,0,17686,3972
Lesotho,4,0,0,0,0,4154,2128
Liberia,3,0,0,0,0,2673,3335
Libya,7,0,0,0,0,18481,6174
Lithuania,71,0,2,3,5,40436,3565
Macedonia,7,0,0,0,0,8376,2061
Madagascar,4,0,0,0,0,14629,20043
Malawi,4,0,0,0,0,10363,13932
Malaysia,33,0,1,0,1,260126,25274
Mali,17,0,0,0,0,14117,12324
Mauritania,2,0,0,0,0,3969,3055
Mauritius,12,0,0,1,1,18513,1274
Mexico,85,2,0,1,3,877312,109955
Moldova,31,0,0,1,1,15309,4324
Mongolia,29,2,2,0,4,3000,2996
Morocco,57,0,1,1,2,118997,34343
Mozambique,5,0,0,0,0,45970,21285
Namibia,9,0,0,0,0,9547,2089
Nepal,8,0,0,0,0,31972,28197
Netherlands,245,7,5,4,16,411055,16645
New Zealand,182,3,2,4,9,77840,4173
Nicaragua,6,0,0,0,0,9685,5786
Niger,5,0,0,0,0,7589,14752
Nigeria,33,0,1,3,4,222958,146255
Norway,85,3,5,1,9,132365,4644
Oman,5,0,0,0,0,27594,3312
Pakistan,21,0,0,0,0,386906,172800
Panama,3,1,0,0,1,22094,3310
Paraguay,5,0,0,0,0,22506,6831
Peru,12,0,0,0,0,157224,29181
Philippines,15,0,0,0,0,281120,96062
Poland,268,3,6,1,10,391172,38501
Portugal,77,1,1,0,2,154132,10677
Puerto Rico,22,0,0,0,0,59651,3957
Qatar,22,0,0,0,0,14278,825
Romania,102,4,1,3,8,108902,22247
Russia,467,23,21,29,73,1281959,140702
Rwanda,4,0,0,0,0,10390,10186
Saudi Arabia,16,0,0,0,0,237426,28147
Senegal,12,0,0,0,0,19430,13343
Seychelles,8,0,0,0,0,529,87
Sierra Leone,3,0,0,0,0,4321,6295
Singapore,25,0,1,0,1,129521,4608
Slovakia,57,3,2,1,6,71102,5455
Slovenia,62,1,2,2,5,36481,2008
Somalia,2,0,0,0,0,9349,9559
South Africa,136,0,1,0,1,233829,48783
Spain,286,5,10,3,18,797927,40491
Sri Lanka,8,0,0,0,0,103427,21129
Sudan,8,0,1,0,1,61297,40218
Swaziland,4,0,0,0,0,3556,1129
Sweden,134,0,4,1,5,220781,9045
Switzerland,84,2,1,4,7,190328,7582
Syria,8,0,0,0,0,165093,19748
Chinese Taipei,80,0,0,4,4,479645,22921
Tajikistan,13,0,1,1,2,11110,7212
Tanzania,10,0,0,0,0,29934,40213
Thailand,51,2,2,0,4,573073,65493
Togo,4,0,0,1,1,3548,5859
Trinidad and Tobago,30,0,2,0,2,26238,1231
Tunisia,32,1,0,0,1,63368,10384
Turkey,68,1,4,3,8,611382,75794
Turkmenistan,10,0,0,0,0,21165,4829
Uganda,15,0,0,0,0,31617,31368
Ukraine,254,7,5,15,27,230111,45994
United Arab Emirates,8,0,0,0,0,72044,4621
United States,596,36,38,36,110,9485136,304228
Uruguay,12,0,0,0,0,34408,3478
Uzbekistan,58,1,2,3,6,144493,27345
Venezuela,109,0,0,1,1,279897,26415
Vietnam,21,0,1,0,1,255786,86117
Yemen,5,0,0,0,0,62106,23013
Zambia,8,0,0,0,0,9855,11670
Zimbabwe,13,1,3,0,4,8841,11350
