Country (values listed in millions of 1990 International Geary-Khamis dollars),1,1000,1500,1600,1700,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Austria ,425,425,707,837,993,1218,,,,,,,,,,1399,,,,,,,,,,1515,,,,,,,,,,1650,,,,,,,,,,1778,,,,,,,,,,1863,1979,1976,1913,1981,1973,2000,2050,2100,2068,2079,2145,2140,2209,2248,2215,2268,2404,2379,2337,2443,2506,2535,2525,2645,2688,2701,2730,2855,2886,2882,2864,2945,2941,2956,3090,3176,3338,3320,3276,3290,3365,3505,3465,2876,2653,2628,2586,2555,2259,2412,2650,2877,2842,3163,3367,3413,3505,3657,3699,3586,3288,2940,2833,2852,2907,2995,3156,3559,4096,3959,4217,3983,4065,4152,1725,1956,2166,2764,3293,3706,3959,3967,4137,4555,5053,5397,5716,5907,6051,6519,6827,6950,7186,7567,7734,8112,8297,8621,9131,9747,10200,10771,11235,11658,11646,12201,12767,12731,13448,13759,13718,13961,14394,14439,14752,15081,15313,15754,16360,16895,17289,17481,17377,17753,18048,18490,18809,19463,20065,20691,20813,20956,21165,21627,22141,22893,23674,24131
Belgium ,450,425,875,976,1144,1319,,,,,,,,,,1354,,,,,,,,,,,,,,,,1694,1762,1754,1790,1847,1886,1924,1962,2070,2071,2170,2211,2212,2197,2293,2310,2354,2404,2466,2448,2503,2497,2569,2663,2692,2682,2824,2820,2890,2861,2875,2884,2942,2945,3065,3070,3136,3145,3136,3138,3153,3250,3247,3379,3428,3395,3442,3455,3468,3512,3551,3586,3615,3656,3731,3719,3739,3772,3821,3882,3917,3932,3933,3971,4064,4148,4206,4220,3923,3858,4080,3519,2861,3389,3962,4056,4413,4533,4638,4666,4784,4923,5139,5054,4979,4860,4607,4681,4624,4894,4913,4961,4832,5150,4562,4358,3997,3907,4112,4333,4574,4800,5024,5193,5462,5747,5668,5818,6029,6280,6422,6495,6442,6608,6952,7253,7583,7862,8341,8559,8776,9072,9416,10018,10611,10970,11503,12170,12643,12441,13122,13190,13554,13861,14467,14279,14474,14474,14833,14977,15195,15541,16252,16744,17197,17451,17645,17406,17902,18270,18439,19015,19339,19964,20656,20761,21033,21206,21802,22247,22882,23447,23655
Denmark ,400,400,738,875,1039,1274,1320,1327,1308,1328,1322,1324,1349,1357,1324,1330,1318,1354,1336,1397,1377,1367,1392,1390,1395,1428,1414,1407,1476,1527,1551,1569,1547,1612,1691,1767,1662,1702,1692,1681,1843,1716,1722,1688,1778,1741,1747,1779,1869,1833,1875,1859,1840,1853,1940,2003,1993,2087,2057,2096,2112,2130,2046,2102,2149,2181,2183,2240,2299,2285,2274,2336,2395,2389,2400,2523,2555,2598,2629,2657,2770,2836,2863,2870,2952,3017,3104,3141,3290,3326,3346,3402,3486,3552,3643,3705,3857,3812,3912,4110,3778,3891,3617,3459,3860,3992,3826,4166,4559,4528,4378,4598,4658,4785,5075,5341,5359,5169,5291,5402,5480,5575,5668,5762,5993,5116,4574,4629,5080,5543,5066,5777,6035,6133,6494,6943,6936,6955,7292,7371,7395,7439,7965,8095,8637,8812,9312,9747,9732,10560,10953,11160,11437,11837,12531,12686,12934,13538,13945,13751,13621,14466,14655,14826,15313,15227,15096,15563,15966,16676,17384,17993,18023,18224,18261,18452,18644,18949,18870,19847,20350,20810,21388,21771,22255,22975,23059,23083,23089,23493,23973,24680,24995,24621
Finland ,400,400,453,538,638,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,,,,,,,959,958,896,958,969,951,958,886,1003,1101,1140,1127,1145,1193,1204,1211,1259,1211,1173,1167,1155,1110,1203,1230,1219,1231,1276,1276,1302,1327,1381,1350,1280,1341,1399,1492,1570,1624,1668,1607,1668,1636,1591,1686,1731,1742,1794,1834,1829,1884,1906,1939,2022,2111,2001,1882,1893,1581,1370,1658,1846,1884,2058,2187,2224,2328,2392,2557,2707,2717,2666,2581,2550,2702,2988,3093,3279,3441,3589,3408,3220,3322,3327,3697,3685,3450,3683,3717,3957,4143,4253,4571,4674,4652,5002,5197,5295,5490,5474,5754,6230,6658,6819,6994,7307,7670,7824,7947,8093,8878,9577,9765,10448,11085,11361,11441,11358,11355,11559,12332,12949,13134,13485,13767,14107,14522,14819,15382,16088,16946,16866,15703,15023,14767,15284,15753,16300,17262,18193,18856,19770,20246,20522,20846,21574,22141,23190,24132,24344
France,473,425,727,841,910,1135,1225,1176,1213,1246,1191,1223,1197,1190,1221,1191,1208,1312,1288,1290,1333,1311,1329,1387,1336,1428,1456,1418,1487,1533,1480,1478,1635,1529,1572,1597,1568,1664,1578,1648,1617,1686,1779,1900,1774,1892,1769,1914,1973,1988,1924,1934,1813,1982,2006,1876,1899,2078,1922,2157,2219,2028,2127,2091,1953,2120,2194,2288,2288,2253,2207,2237,2249,2269,2322,2376,2432,2493,2535,2626,2569,2685,2639,2760,2911,2876,2826,2775,2831,2847,2894,2943,3070,3045,3167,2965,3250,3514,3485,3236,3248,3463,2979,2396,2811,3227,3075,3610,3754,4179,4166,4249,4154,4431,4710,4532,4235,3959,4239,4192,4086,4244,4487,4466,4793,4042,3309,2981,2860,2422,2573,3855,4138,4393,4946,5186,5461,5564,5684,5915,6199,6448,6762,6855,6979,7398,7718,8067,8363,8819,9165,9544,9907,10267,10886,11410,11845,12264,12824,13113,12957,13466,13913,14240,14634,14766,14840,15132,15245,15382,15530,15833,16158,16790,17300,17647,17755,17994,17723,18008,18349,18467,18825,19213,19754,20422,20684,20778,20891,21262,21536,21920,22287,22223
Germany ,408,410,688,791,910,1077,,,,,,,,,,1328,,,,,,,,,,,,,,,,,,,,1428,1408,1426,1413,1443,1420,1531,1594,1574,1565,1639,1583,1645,1749,1780,1770,1771,1766,1861,1860,1839,1817,1931,1999,2124,2112,2071,2033,2103,2029,1991,2025,2044,2143,2178,2216,2211,2275,2341,2379,2428,2397,2469,2565,2598,2686,2740,2775,2848,2905,2985,2871,2893,3008,3083,3104,3152,3245,3254,3275,3348,3408,3524,3648,3059,2899,2935,2952,2983,2586,2796,3078,3331,2750,3199,3532,3605,3941,4090,4051,3973,3652,3362,3556,3858,4120,4451,4685,4994,5406,5403,5711,5740,5890,6084,4514,2217,2436,2834,3282,3881,4206,4553,4905,5247,5797,6177,6492,6737,7177,7705,7952,8222,8386,8822,9186,9388,9397,9864,10440,10839,11077,11481,11966,12063,12041,12684,13072,13455,13993,14114,14149,14040,14329,14783,15140,15469,15701,16160,16558,15929,16650,16891,16645,17028,17299,17420,17709,18029,18380,18944,19157,19140,19088,19284,19417,20041,20547,20801
Italy ,809,450,1100,1100,1100,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,,,,,,,,1447,1482,1442,1474,1499,1559,1421,1479,1486,1499,1506,1475,1524,1513,1550,1506,1493,1506,1514,1581,1467,1584,1568,1566,1584,1643,1678,1662,1579,1667,1651,1548,1609,1576,1592,1627,1545,1672,1700,1785,1890,1821,1893,1896,1984,2042,2254,2288,2444,2332,2461,2465,2564,2543,2810,3139,3301,3392,2845,2587,2528,2631,2763,2765,2921,2926,2838,3016,3093,2918,2877,2948,2906,2894,3148,3130,3319,3316,3521,3505,3432,3369,3039,2463,1922,2502,2920,3063,3265,3502,3738,3997,4260,4449,4676,4859,5118,5360,5653,5916,6373,6827,7262,7487,7598,7942,8454,9105,9566,9719,9839,10060,10634,11046,10742,11385,11668,12064,12720,13149,13200,13252,13391,13719,14096,14496,14946,15523,15969,16313,16539,16637,16436,16754,17215,17376,17693,17834,18160,18774,19069,19107,19090,19300,19420,19798,20110,19909
Netherlands ,425,425,761,1381,2130,1838,1885,1874,1931,1969,1938,1928,2001,2079,2104,2013,1997,2116,2140,2124,2131,2165,2223,2262,2273,2283,2305,2289,2241,2231,2234,2228,2237,2261,2314,2371,2410,2413,2373,2421,2455,2470,2496,2440,2364,2377,2397,2413,2481,2553,2605,2656,2660,2621,2672,2757,2734,2771,2853,2727,2880,2890,2927,2991,2778,3046,3074,3117,3305,3328,3362,3374,3467,3544,3502,3323,3224,3240,3236,3273,3334,3166,3436,3460,3465,3424,3440,3543,3562,3535,3594,3669,3622,3577,3660,3789,3888,3955,4049,3868,3926,3956,3627,3352,4122,4220,4431,4599,4635,4895,5031,5358,5504,5720,5689,5603,5185,5035,4956,4805,4929,5190,5433,5250,5544,4831,4531,4107,3981,2649,2686,4457,5048,5490,5880,5996,6032,6084,6543,6907,7326,7499,7614,7482,7737,8287,8202,8639,8832,9437,9798,9936,10341,10894,11462,11967,12319,12597,13081,13497,13374,13885,14177,14424,14647,14705,14525,14291,14483,14900,15283,15617,15737,16044,16695,17262,17520,17747,17765,18055,18510,18988,19620,20636,21461,22161,22433,22301,22237,22602,22929,23587,24320,24695
Norway ,400,400,610,665,722,801,,,,,,,,,,835,767,778,863,901,881,856,857,858,858,935,951,955,933,949,990,1006,966,912,935,956,1014,1003,1048,1076,1128,1105,1042,1079,1100,1137,1104,1198,1199,1242,1293,1304,1329,1321,1368,1360,1376,1457,1482,1524,1551,1572,1565,1490,1483,1517,1528,1528,1523,1542,1544,1542,1552,1619,1675,1709,1712,1734,1769,1764,1763,1788,1856,1844,1875,1877,1902,1914,1891,1888,1892,1962,2038,2088,2115,2186,2255,2344,2447,2472,2554,2628,2361,2243,2602,2739,2443,2678,2732,2715,2863,2889,2986,3106,3387,3627,3323,3467,3534,3638,3800,4035,4193,4262,4441,4038,4112,3928,3820,3588,3980,4335,4864,5144,5227,5430,5670,5814,5985,6226,6301,6575,6711,6652,6874,7204,7595,7746,7982,8316,8690,8945,9423,9551,9899,10027,10472,10922,11324,11726,12271,12930,13425,13840,14411,15076,15169,15145,15636,16513,17320,17882,18164,18059,18157,18466,19045,19561,19974,20905,21703,22728,23775,24138,24470,25102,25468,25733,25879,26765,27377,27899,28013,28500
