Country,1,1000,1500,1600,1700,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2030
Austria ,500,700,2000,2500,2500,3369,3386,3402,3419,3436,3452,3469,3486,3504,3521,3538,3555,3573,3590,3608,3626,3614,3662,3680,3698,3716,3739,3762,3785,3808,3831,3855,3878,3902,3926,3950,3978,4006,4035,4063,4092,4120,4150,4178,4206,4235,4263,4292,4321,4350,4380,4409,4439,4469,4499,4520,4562,4604,4646,4688,4730,4772,4815,4857,4899,4941,4985,5030,5075,5121,5166,5212,5257,5303,5348,5394,5446,5504,5563,5622,5680,5739,5798,5856,5915,5973,6035,6099,6164,6228,6292,6357,6421,6485,6550,6614,6669,6724,6767,6806,6843,6825,6785,6727,6420,6455,6504,6528,6543,6562,6582,6603,6623,6643,6664,6684,6705,6725,6746,6760,6761,6758,6755,6753,6653,6705,6745,6783,6808,6834,6799,7000,6971,6956,6943,6935,6935,6928,6932,6940,6947,6952,6966,6987,7014,7047,7086,7130,7176,7224,7271,7322,7377,7415,7441,7467,7500,7544,7586,7599,7579,7566,7568,7562,7549,7549,7565,7575,7553,7554,7560,7568,7579,7600,7628,7723,7818,7915,7989,8028,8047,8061,8070,8079,8094,8113,8132,8148,8163,8175,8185,8193,8200,8206,8210,8120
Belgium ,300,400,1400,1600,2000,3434,3464,3495,3526,3557,3589,3620,3652,3685,3717,3750,3782,3814,3846,3879,3912,3945,3978,4012,4046,4080,4115,4151,4187,4223,4259,4296,4333,4371,4408,4449,4477,4506,4534,4563,4592,4621,4651,4680,4710,4740,4774,4809,4844,4879,4915,4950,4986,5023,5029,5096,5137,5178,5219,5261,5303,5345,5394,5442,5492,5541,5606,5673,5740,5807,5876,5919,5962,6007,6051,6096,6164,6231,6300,6370,6439,6494,6548,6604,6662,6719,6801,6903,6997,7086,7175,7258,7338,7411,7478,7498,7517,7590,7666,7723,7759,7762,7729,7660,7628,7552,7504,7571,7635,7707,7779,7844,7904,7968,8032,8076,8126,8186,8231,8262,8288,8315,8346,8374,8392,8346,8276,8247,8242,8291,8339,8367,8450,8557,8614,8639,8678,8730,8778,8819,8868,8924,8989,9053,9104,9119,9166,9218,9283,9367,9448,9508,9557,9590,9613,9638,9673,9709,9738,9768,9795,9811,9822,9830,9837,9847,9852,9856,9856,9855,9858,9862,9870,9884,9938,9969,10004,10046,10085,10123,10155,10179,10200,10217,10236,10264,10292,10312,10331,10348,10364,10379,10392,10404,10414,10409
Denmark ,180,360,600,650,700,1155,1167,1179,1196,1213,1228,1243,1255,1265,1270,1273,1275,1276,1284,1295,1306,1315,1325,1335,1347,1357,1371,1385,1392,1414,1430,1444,1456,1470,1484,1499,1517,1536,1552,1569,1590,1612,1634,1653,1674,1696,1717,1739,1761,1777,1799,1814,1833,1852,1871,1888,1903,1918,1935,1954,1973,1994,2019,2043,2064,2081,2101,2120,2137,2160,2186,2213,2237,2257,2276,2294,2311,2327,2344,2367,2397,2428,2462,2497,2530,2561,2594,2623,2653,2681,2710,2741,2775,2809,2845,2882,2917,2951,2983,3018,3055,3092,3130,3165,3202,3242,3285,3322,3356,3389,3425,3452,3475,3497,3518,3542,3569,3603,3633,3666,3695,3722,3749,3777,3805,3832,3863,3903,3949,3998,4045,4101,4146,4190,4230,4271,4304,4334,4369,4406,4439,4466,4488,4515,4547,4581,4610,4647,4684,4720,4758,4798,4839,4867,4891,4929,4963,4992,5022,5045,5060,5073,5088,5104,5117,5123,5122,5118,5114,5112,5114,5121,5127,5130,5133,5141,5154,5171,5188,5206,5233,5262,5284,5303,5320,5337,5356,5375,5394,5413,5432,5451,5468,5485,5501,5730
Finland ,20,40,300,400,400,1169,1186,1202,1219,1235,1252,1268,1310,1326,1343,1364,1374,1378,1383,1387,1391,1399,1409,1420,1430,1441,1456,1476,1495,1516,1536,1555,1573,1591,1610,1628,1642,1652,1663,1673,1683,1692,1703,1715,1726,1738,1754,1774,1794,1813,1833,1840,1831,1776,1734,1754,1786,1819,1847,1873,1899,1928,1957,1983,2014,2047,2072,2098,2130,2164,2195,2224,2259,2296,2331,2364,2394,2451,2430,2511,2483,2515,2549,2589,2624,2646,2667,2686,2706,2735,2762,2788,2821,2861,2899,2929,2962,2998,3027,3053,3083,3105,3124,3125,3117,3133,3170,3210,3243,3272,3304,3339,3368,3396,3424,3449,3476,3503,3526,3549,3576,3601,3626,3656,3686,3698,3702,3708,3721,3735,3758,3806,3859,3912,3963,4009,4047,4091,4139,4187,4235,4282,4324,4360,4395,4430,4461,4491,4523,4549,4564,4581,4606,4626,4624,4606,4612,4640,4666,4691,4711,4726,4739,4753,4765,4780,4800,4827,4856,4882,4902,4917,4932,4947,4962,4986,5014,5041,5065,5086,5105,5120,5134,5147,5158,5169,5180,5193,5204,5215,5223,5231,5238,5245,5250,5201
France,5000,6500,15000,18500,21471,31250,31460,31685,31905,32127,32350,32538,32727,32917,33108,33300,33439,33598,33718,33859,34000,34178,34357,34537,34718,34900,35059,35218,35378,35539,35700,35829,35959,36089,36219,36350,36479,36609,36739,36869,37000,37060,37120,37180,37240,37300,37390,37520,37710,37860,38020,38080,38230,38330,38890,38440,37731,37679,37887,38044,38221,38398,38576,38763,38909,39045,39191,39337,39472,39629,39733,39858,39889,39920,40004,40014,39983,39993,40014,40056,40098,40192,40348,40473,40546,40598,40640,40713,40786,40859,40890,40942,40942,41046,41109,41224,41307,41359,41463,41476,40481,39884,39288,38542,38700,39000,39240,39420,39880,40310,40610,40870,40940,41050,41230,41610,41860,41860,41890,41950,41940,41910,41930,41960,41900,41000,39600,39400,39000,38900,39700,40290,40680,41110,41480,42518,42862,43184,43495,43822,44218,44657,45152,45654,46129,46584,47128,48089,48799,49357,49802,50254,50650,51034,51470,51918,52432,52894,53333,53690,53955,54159,54378,54602,54836,55110,55399,55697,55929,56246,56490,56725,56989,57255,57821,58168,58514,58859,59169,59445,59712,59981,60254,60535,60824,61137,61479,61829,62171,62534,62912,63293,63682,64058,64420,69249
Germany ,3000,3500,12000,16000,15000,24905,25260,25620,25969,26307,26650,26964,27249,27540,27807,28045,28283,28535,28801,29071,29390,29702,30013,30365,30746,31126,31475,31787,32086,32394,32743,33059,33231,33289,33452,33746,34055,34290,34422,34531,34586,34715,34979,35278,35633,36049,36435,36788,37184,37602,37955,38193,38440,38637,38914,39231,39456,39691,40017,40450,40897,41491,42034,42546,43052,43500,43827,44112,44404,44777,45084,45505,46001,46538,47083,47607,48129,48633,49123,49703,50363,51111,51921,52753,53592,54388,55214,56104,56963,57806,58644,59481,60341,61187,62038,62884,63852,64457,65058,66096,66230,66076,65763,65237,60547,60894,61573,61900,62307,62697,63166,63630,64023,64393,64739,65084,65423,65716,66027,66409,66871,67349,67831,68558,69286,69835,70244,70834,70411,69865,67000,64678,66094,67295,67991,68375,68876,69146,69550,69868,70196,70603,71019,71488,72014,72481,73123,73739,74340,74954,75639,76206,76368,76584,77144,77783,78355,78717,78950,78966,78682,78299,78161,78066,78081,78298,78402,78335,78122,77855,77685,77713,77718,78031,78645,79380,79984,80598,81132,81414,81654,81891,82011,82024,82075,82188,82281,82351,82398,82425,82431,82422,82401,82370,82330,79573
Italy ,8000,5000,10500,13100,13300,20176,20306,20437,20568,20701,20834,20968,21103,21239,21376,21513,21652,21791,21932,22073,22215,22358,22502,22647,22793,22939,23087,23236,23385,23536,23687,23840,23993,24148,24303,24460,24617,24776,24935,25096,25257,25420,25584,25748,25914,26081,26249,26418,26610,26814,27023,27256,27411,27501,27681,27888,28063,28233,28387,28505,28630,28837,29067,29252,29425,29534,29672,29898,30113,30366,30644,30857,31049,31243,31468,31702,31892,32091,32303,32513,32689,32863,33078,33285,33487,33672,33877,34166,34436,34715,35011,35297,35594,35899,36213,36572,36917,37150,37248,37526,37982,38142,37981,37520,37250,37398,37691,38086,38460,38810,39165,39502,39848,40186,40469,40791,41132,41431,41753,42093,42429,42750,43068,43419,43865,44341,44734,45004,45177,45290,45442,45725,46040,46381,46733,47105,47418,47666,47957,48299,48633,48921,49182,49476,49832,50198,50523,50843,51198,51600,51987,52332,52667,52987,53317,53661,54006,54366,54797,55226,55572,55839,56059,56240,56368,56451,56502,56536,56630,56697,56731,56734,56730,56734,56738,56743,56747,56841,57027,57179,57275,57367,57479,57550,57604,57719,57845,57927,57998,58057,58103,58134,58148,58145,58126,55360
Netherlands ,200,300,950,1500,1900,2333,2365,2400,2435,2474,2514,2543,2561,2585,2610,2633,2653,2665,2683,2707,2732,2762,2791,2821,2853,2886,2921,2952,2981,3014,3047,3069,3071,3069,3076,3098,3133,3167,3194,3218,3235,3253,3277,3294,3304,3318,3340,3366,3397,3431,3460,3484,3510,3543,3575,3610,3636,3662,3670,3745,3788,3832,3883,3834,3986,4043,4079,4130,4180,4226,4276,4326,4378,4432,4485,4535,4585,4632,4684,4743,4803,4866,4935,5003,5070,5142,5221,5305,5389,5470,5551,5632,5710,5786,5862,5922,5984,6068,6164,6277,6395,6516,6654,6752,6805,6848,6921,7032,7150,7264,7366,7471,7576,7679,7782,7884,7999,8123,8237,8341,8434,8516,8599,8685,8782,8879,8966,9042,9103,9175,9262,9424,9630,9800,9956,10114,10264,10382,10493,10615,10751,10889,11026,11187,11348,11486,11639,11806,11966,12127,12292,12455,12597,12725,12873,13032,13194,13330,13438,13541,13653,13770,13853,13937,14030,14144,14246,14310,14362,14420,14491,14572,14665,14761,14849,14952,15066,15174,15275,15382,15459,15528,15604,15699,15802,15908,16017,16123,16223,16318,16407,16491,16571,16645,16716,17673
Norway ,100,200,300,400,500,970,984,998,1013,1028,1044,1062,1079,1093,1108,1124,1137,1150,1163,1174,1188,1202,1214,1224,1233,1241,1254,1271,1286,1302,1319,1337,1351,1363,1377,1392,1409,1425,1440,1457,1479,1501,1521,1543,1570,1596,1614,1627,1646,1668,1690,1707,1716,1724,1729,1735,1745,1755,1767,1783,1803,1829,1852,1877,1902,1919,1923,1920,1919,1929,1944,1958,1970,1977,1984,1997,2013,2026,2038,2057,2083,2112,2142,2174,2204,2230,2255,2275,2288,2297,2309,2319,2329,2346,2367,2384,2401,2423,2447,2472,2498,2522,2551,2578,2603,2635,2668,2695,2713,2729,2747,2763,2775,2785,2795,2807,2824,2842,2858,2874,2889,2904,2919,2936,2954,2973,2990,3009,3032,3060,3091,3127,3165,3201,3234,3265,3296,3328,3361,3394,3427,3460,3492,3523,3553,3581,3610,3639,3667,3694,3723,3754,3786,3819,3851,3877,3903,3933,3961,3985,4007,4026,4043,4059,4073,4086,4100,4115,4128,4140,4152,4167,4186,4209,4226,4242,4262,4286,4312,4337,4359,4381,4406,4433,4463,4492,4515,4536,4555,4575,4593,4611,4628,4644,4661,4978
